user,item
21577,"BD0223EN, BD0115EN, ML0111EN, BD0111EN, BD0135EN, BD0131EN, TA0105, DV0151EN, DS0101EN, SC0103EN, BD0211EN, ML0101EN, TA0106EN, BD0212EN, BD0121EN, DS0105EN, RP0105EN, BD0133EN, BD0221EN, BD0123EN, ML0120EN, ML0115EN, BD0137EN, ML0109EN, DS0103EN, BD0143EN, PA0101EN, SC0105EN, BD0141EN"
21709,"BD0211EN, ML0115EN, PY0101EN, DA0101EN, ML0120ENv2, BD0101EN, BD0111EN, ML0122ENv1"
21750,"BD0145EN, BD0123EN, BD0211EN, DP0101EN, DJ0101EN, ML0115EN, BD0137EN, BD0115EN, BD0121EN, PA0101EN, BD0212EN, BD0135EN, BD0111EN, BD0143EN, BD0141EN, CP0101EN, BD0133EN"
22492,"ML0101EN, SC0105EN, PY0101EN, ML0120EN, CP0101EN"
22708,ML0122ENv1
23641,BC0201EN
23794,ML0122ENv1
23877,"LB0109ENv1, LB0105ENv1, LB0103ENv1, LB0101ENv1, LB0111EN, LB0107ENv1"
24234,"BD0121EN, BD0115EN, BD0101EN, BD0111EN, BD0141EN, BD0131EN, BD0133EN"
24632,DS0101EN
24743,"CL0101EN, CC0201EN, CO0201EN, CC0103EN, BC0101EN, CB0103EN, CC0101EN, CC0250EN, CO0101EN, CO0401EN, DW0101EN, CO0301EN, BC0201EN"
24868,"DJ0101EN, DS0103EN"
25618,BC0201EN
26339,"PY0101EN, BD0111EN, BD0141EN, BD0115EN, BD0131EN, BD0101EN"
26454,"DS0101EN, DS0301EN, PY0101EN, RP0105EN, ML0103EN, SC0105EN, DS0103EN, DS0105EN"
26609,DS0103EN
28895,BC0201EN
29733,BC0201EN
29962,"ML0122ENv1, CB0103EN"
30031,"BD0101EN, BD0223EN, BD0131EN, BD0111EN, RP0105EN, BD0212EN, ML0122ENv1, ML0115EN, PY0101EN, BD0141EN, ML0120EN, DA0101EN, BD0221EN, BC0101EN, BD0211EN, BD0115EN, DV0101EN"
30155,ML0122ENv1
30281,CB0103EN
30958,"ML0120EN, BD0111EN, ML0101EN, ML0115EN, BD0115EN"
31000,"BC0101EN, CB0103EN, BD0101EN, PY0101EN, BD0211EN, ML0115EN, DS0321EN, SC0101EN, BD0111EN, CO0101EN"
31054,"BD0211EN, ST0101EN, DB0101EN, ML0115EN, BD0212EN"
32009,"BC0101EN, DA0101EN, PY0101EN, DV0101EN, DS0101EN"
32318,"TA0105, TA0106EN"
32331,"BD0111EN, PA0101EN"
32444,"DS0101EN, BD0211EN, BD0141EN, BD0123EN, BD0221EN, BD0111EN, BD0101EN"
32658,"DA0101EN, BC0101EN, PY0101EN, CC0101EN, DS0103EN, DS0105EN, DS0101EN"
32917,"BD0211EN, ML0115EN, DS0103EN, ML0120EN, ML0101EN, BD0221EN, RP0105EN, ML0120ENv2, DA0101EN, DP0101EN, PA0101EN, BD0101EN, SC0101EN"
32936,"BD0212EN, ML0101EN, RP0101EN, BD0137EN, BD0211EN, DS0321EN, DS0101EN, BD0131EN, DS0105EN"
32975,CB0103EN
33218,ST0101EN
33357,"DW0101EN, SC0103EN, BD0211EN, BD0101EN, PY0101EN, BD0111EN, SC0101EN, CO0101EN"
33474,"DJ0101EN, BD0143EN, RP0105EN, CP0101EN, SC0101EN, ML0151EN"
33565,"DS0103EN, ML0115EN, BD0211EN, DS0101EN, PA0101EN, BD0212EN, ST0101EN, DV0101EN, DA0101EN, BD0111EN, ML0120ENv2, ML0101ENv3, PY0101EN, DS0105EN, DB0101EN"
34038,ML0122ENv1
34074,"CB0103EN, DA0101EN, BD0115EN, BD0221EN, BD0143EN, BD0145EN, RP0101EN, DS0321EN, LB0109ENv1, BD0101EN, PY0101EN, TA0105, ML0115EN, WA0101EN, ML0101ENv3, ML0120EN, ML0120ENv2, DS0101EN, BD0123EN, SC0101EN, BD0211EN, SC0103EN, DV0101EN, BD0111EN, BD0141EN, ST0101EN, BD0131EN"
34572,"SC0101EN, RP0101EN, ML0101ENv3, BD0211EN, PY0101EN, BD0101EN, ST0101EN, BD0212EN, BD0111EN, DS0101EN"
35928,"ST0101EN, PY0101EN, DV0101EN, BD0111EN, DA0101EN, BD0101EN, ML0101EN"
36235,TA0105
36321,"BD0121EN, SC0103EN, TA0106EN, TA0105, DS0103EN, BD0211EN, BD0212EN, BD0115EN, BD0111EN, BD0133EN, SC0101EN, BD0143EN, PA0101EN, PY0101EN, BD0101EN, BD0123EN, BD0131EN, DS0101EN"
36485,BD0211EN
36585,"ML0101EN, ML0115EN, DS0101EN, DS0321EN, DS0201EN, PY0101EN, ML0109EN, CL0101EN, CB0105ENv1, CB0103EN, RP0103EN, BC0101EN, ML0151EN"
37444,BD0211EN
37451,"BD0115EN, BD0145EN, BD0143EN, BD0111EN, BD0101EN, BD0141EN, BD0131EN"
37465,"BD0111EN, SC0101EN, DS0101EN, DS0201EN, BD0101EN, BD0115EN, BD0211EN"
37688,CB0103EN
37892,DAI101EN
37936,"SC0103EN, SC0101EN, SC0105EN, BD0211EN, TMP0105EN, BD0212EN, BD0133EN"
38699,BC0201EN
38951,DS0101EN
39340,ML0122EN
39919,"ML0103EN, RP0103, DS0301EN, PA0101EN, RP0101EN"
40303,"BD0211EN, BD0131EN, BD0111EN, BD0141EN, BD0101EN, BD0115EN, BD0121EN, SC0103EN, BD0212EN"
40562,ML0122ENv1
40661,ML0122ENv1
41727,"BD0212EN, BD0211EN, ML0115EN, BC0101EN, BD0131EN, BD0123EN, BD0145EN, BD0111EN"
41881,ML0122ENv1
42044,BC0201EN
42266,BD0111EN
42433,CB0103EN
42528,BD0111EN
43309,"DS0105EN, WA0101EN, ST0101EN, DW0101EN, DS0101EN, PY0101EN, CB0103EN, ML0109EN, DS0103EN, BD0101EN, BC0201EN"
43341,"LB0105ENv1, SC0101EN, LB0101ENv1, LB0103ENv1, LB0107ENv1, LB0111EN, LB0109ENv1"
43567,"BD0123EN, DS0103EN, SC0101EN, DS0101EN, DS0105EN, DJ0101EN"
43704,"DB0101EN, BD0111EN, BD0212EN, BD0101EN, BD0145EN, BD0211EN, SC0103EN, PY0101EN"
44318,RP0101EN
44500,"ST0101EN, PA0101EN, ML0103EN, ML0101EN, CB0103EN, ML0115EN, DS0101EN, ML0120EN"
44577,DS0101EN
44857,"ST0101EN, CO0301EN, CO0201EN, BD0111EN, BD0101EN, DS0101EN, BD0211EN, CC0101EN"
45457,"DS0103EN, DS0105EN, ST0101EN, ML0115EN, ML0109EN, TA0105, DS0101EN"
45929,"DS0321EN, CB0103EN, BC0101EN, DS0101EN, BD0111EN, BD0101EN"
46170,"ML0115EN, WA0101EN, PA0101EN, BD0153EN, BD0101EN, BC0101EN"
46272,"DS0103EN, PY0101EN, CB0103EN, DS0105EN, DS0101EN"
46326,"WA0101EN, PY0101EN, BC0101EN, BD0101EN, DS0101EN, BD0211EN"
46628,"TA0105, ML0115EN, ML0120EN, WA0101EN, DP0101EN, ML0109EN, TA0106EN"
47459,"DS0101EN, RP0101EN, ML0115EN, ML0151EN, ML0120EN"
47460,"BD0211EN, SC0101EN, BD0111EN, DS0101EN, PY0101EN"
47574,"DS0101EN, BD0211EN, BD0101EN, DS0105EN, SC0101EN, RP0101EN, RP0151EN"
48871,"ML0115EN, DS0105EN, DS0103EN, ML0103EN, DS0301EN, RP0101EN, PA0101EN, BD0101EN, DS0101EN, SC0101EN"
49313,ST0101EN
49319,BC0201EN
49400,CB0103EN
49508,CB0103EN
50348,CNSC02EN
50494,"DS0101EN, BD0111EN, DS0105EN, BD0211EN, BD0121EN, BD0101EN"
50667,"SC0101EN, WA0101EN, ST0101EN, BD0211EN, DB0151EN, TA0105"
50831,"BD0137EN, SC0101EN, BD0101EN, BD0131EN, BD0143EN, DS0101EN, ML0103EN, BD0123EN, BD0115EN, RP0151EN, PA0101EN, ML0101EN, SC0103EN, WA0101EN, ML0109EN, TMP0105EN, ML0115EN, TA0106EN, DB0151EN, BD0212EN, BD0211EN, DS0103EN, DS0321EN, BD0121EN, BD0141EN, DP0101EN, RP0101EN, DJ0101EN, TA0105, BD0145EN, BD0153EN, DS0105EN, RP0105EN, BD0133EN, BD0135EN, SC0105EN, BD0111EN, DS0301EN"
51452,ML0122ENv1
51937,"BC0101EN, BD0111EN, CB0105ENv1, BD0211EN, CB0103EN, BD0123EN"
52091,ML0122ENv1
52262,"SC0101EN, BD0101EN, DA0101EN, BD0111EN, PY0101EN, RP0103EN, SC0103EN, BD0211EN, DV0151EN"
52917,"ML0120EN, RP0105EN, BD0223EN, BD0212EN, BD0211EN, BD0221EN"
53270,"ML0115EN, BD0211EN, BD0221EN, BD0212EN, ML0120EN"
53345,"BD0101EN, RP0101EN, DS0105EN, DS0101EN, BD0211EN, DS0103EN, BD0111EN"
54439,"BD0221EN, BD0223EN, RP0105EN, BD0212EN, BD0211EN, BD0131EN, BD0123EN, WA0101EN, GPXX0T0FEN, CB0103EN"
55117,BC0201EN
55937,DS0101EN
55958,"CB0103EN, ML0101ENv3, ST0101EN, PY0101EN, DV0101EN, TA0105EN"
56047,DS0301EN
56882,"BD0211EN, BD0111EN, SC0103EN, BD0143EN, BD0212EN, BD0141EN, RP0105EN"
56991,"ML0115EN, BC0101EN, ML0122ENv1, DV0101EN, ML0120ENv2, ML0101ENv3, ML0111EN"
57052,"DS0101EN, BC0101EN, RP0101EN, BD0111EN, CC0101EN, BD0101EN, ML0151EN"
58646,"BD0101EN, PY0101EN, ML0101ENv3, BD0221EN, DE0205EN, BD0211EN, DV0101EN, BD0212EN, DA0101EN, BD0111EN"
58895,BC0201EN
58969,"BD0115EN, BD0133EN, BD0123EN, BD0223EN, BD0135EN, CP0101EN, LB0101ENv1"
59042,BC0201EN
59106,"SC0105EN, BD0135EN, SC0103EN"
59486,BD0101EN
59791,"ML0101EN, PY0101EN, TA0105, BD0211EN, ML0120EN, SC0101EN"
60054,"ML0115EN, ML0101EN, BD0221EN, BD0111EN, PY0101EN, BD0211EN"
60465,TMP0106
61658,CB0103EN
61664,ML0122ENv1
61747,"ML0109EN, ML0101EN, BD0141EN, DJ0101EN, ML0103EN, RP0101EN, BD0211EN"
62816,"DS0101EN, CO0101EN, BC0201EN, BD0101EN, CC0103EN, BC0101EN, BD0111EN"
63000,"DA0101EN, ML0101ENv3, ML0120EN, ML0115EN, PY0101EN"
63535,"BC0101EN, WA0101EN, DS0105EN, CC0101EN, CC0201EN, DS0101EN, BD0211EN, BD0111EN, BD0101EN, CC0250EN, DS0103EN, BD0143EN, CC0103EN"
64056,ML0122ENv1
64209,CB0103EN
64321,BC0201EN
64634,DS0101EN
64669,BC0201EN
64753,BC0201EN
65093,DS0101EN
65118,"BD0111EN, SC0101EN, ML0120ENv2, BD0211EN, ML0115EN, PY0101EN, BD0143EN, BD0131EN, ML0101ENv3, BD0141EN, BD0123EN, BD0121EN"
65307,"DB0101EN, DS0105EN, DS0103EN, CC0201EN, DS0101EN"
65475,CB0103EN
65761,"BC0101EN, BC0201EN, ML0115EN, ML0120ENv2, ML0101ENv3"
66190,TMP0105EN
66648,"DS0101EN, CC0101EN, LB0105ENv1, DS0105EN, CO0201EN, CC0103EN, BD0111EN, LB0101ENv1, ST0101EN, BD0211EN, LB0111EN, PY0101EN, CC0201EN, CO0301EN, BD0101EN, LB0109ENv1, LB0103ENv1, CO0101EN, CC0150EN, CO0401EN, LB0107ENv1, DS0103EN"
66779,"CO0101EN, CO0201EN, DB0151EN, DS0105EN, DS0101EN"
67196,"DAI101EN, BD0211EN, BC0201EN, CC0271EN, SC0101EN, ML0120EN, CO0301EN"
67201,"RP0105EN, SC0103EN, BD0111EN, BD0211EN, BD0101EN, ML0115EN, SC0101EN, BD0137EN, SC0105EN, DS0101EN, TMP0105EN, BD0212EN"
67305,"SC0101EN, BD0111EN, BD0211EN, BD0101EN, BD0115EN"
68209,"BC0101EN, DS0105EN, DA0101EN, DS0321EN, PY0101EN, DS0101EN"
69124,"BD0212EN, BD0131EN, RP0105EN, ML0115EN, BD0141EN, BD0221EN, BD0211EN, RP0101EN, SC0103EN, BD0111EN, BD0115EN, BD0223EN, SC0101EN, SC0105EN"
69129,ST0101EN
69649,BC0201EN
69687,DS0101EN
69955,"SC0105EN, BD0131EN, BD0115EN, BD0211EN, BD0101EN, SC0103EN, SC0101EN, BD0121EN, BD0141EN, BD0111EN"
70221,"BD0211EN, BD0137EN, DB0151EN, DS0103EN, SC0101EN"
70434,TMP0105EN
70452,"DS0101EN, BD0211EN, ML0115EN, DV0101EN, ML0101ENv3, DA0101EN, PY0101EN"
70612,ST0101EN
70733,DS0101EN
70934,"PY0101EN, DS0101EN, BD0211EN, ML0101ENv3, SC0101EN, BD0115EN"
72417,ML0122ENv1
72482,"ML0120EN, BD0211EN, RP0105EN, BD0212EN, BD0111EN, DS0301EN, ML0115EN, ML0103EN, PA0101EN"
72586,"DS0103EN, PA0101EN, BD0212EN, BD0143EN, BD0211EN, DS0105EN"
72632,ML0122ENv1
72806,TMP0105EN
73271,"CO0201EN, ML0115EN, BC0101EN, ML0120ENv2, BD0211EN, SC0101EN, BD0111EN"
73328,"BD0111EN, BD0211EN, PY0101EN, ST0101EN, BD0131EN, ML0101ENv3, BD0115EN, ML0115EN, DA0101EN, DS0105EN, DS0103EN, DV0101EN, ML0120ENv2, PA0101EN"
73345,"ML0101EN, ML0115EN, TA0105, TA0106EN, DJ0101EN, DS0321EN, ML0120EN, DP0101EN"
73425,"DS0301EN, DS0101EN, DS0103EN, ML0103EN, PA0101EN, BD0211EN"
73660,"BD0211EN, BD0111EN, BD0101EN, DS0105EN, DS0103EN, RP0101EN, DS0101EN"
73922,DS0101EN
74781,"BD0111EN, BD0101EN, BD0212EN, DS0103EN, RP0105EN, SC0101EN, RP0101EN, PY0101EN, DS0101EN, BD0211EN, DS0105EN"
74799,"DS0301EN, BD0111EN, DS0103EN, BD0101EN, DA0101EN, DS0101EN"
74945,CB0103EN
74982,ML0122ENv1
75103,ST0101EN
75228,"ML0101ENv3, BD0111EN, BD0115EN, TA0105, DS0101EN"
75362,BD0211EN
